respondent_id,q1_satisfaction,q2_recommend,q3_category,q4_delivery_on_time,q5_improve
R0072,1,0,Electronics,No,"Frustrated, to be honest — shipping took far longer than the estimate, and more competitive pricing would help."
R0073,5,9,Clothing,Yes,-
R0074,3,6,Electronics,Yes,"No major issues, still it was hard to reach a human when I had a question, and a clearer discount policy would be appreciated."
R0075,3,6,Home,Yes,"It was okay, the packaging could be sturdier."
R0076,4,8,Clothing,Yes,Pretty much perfect.
R0077,5,10,Clothing,Yes,Great service overall — keep doing what you're doing.
R0078,3,6,Electronics,No,"Good in general, however the delivery arrived later than promised."
R0079,4,9,Electronics,Yes,N/A
R0080,5,9,Electronics,Yes,N/A
R0081,1,0,Clothing,Yes,"Frustrated, to be honest — a clearer discount policy would be appreciated, and the clothing item didn't quite match the description."
R0082,1,0,Home,Yes,Not a great experience this time — the home item didn't quite match the description.
R0083,4,8,Home,Yes,Very smooth from start to finish.
R0084,5,10,Electronics,Yes,Really happy with the experience — more colour options on electronics items.
R0085,5,10,Electronics,Yes,No real complaints — more colour options on electronics items.
R0086,4,9,Electronics,Yes,Loved it — a wider electronics selection would be a bonus.
R0087,5,8,Clothing,Yes,-
R0088,5,10,Clothing,Yes,Great service overall — more colour options on clothing items.
R0089,2,3,Electronics,No,
R0090,5,9,Home,No,"Good in general, however the parcel was delayed with no real updates."
R0091,2,4,Home,No,"Quite let down — prices feel a little high compared to competitors, and refunds took too long to come through."
R0092,4,10,Clothing,Yes,
R0093,4,7,Electronics,Yes,
R0094,2,4,Home,No,"Quite let down — a clearer discount policy would be appreciated, and real-time tracking would make a big difference."
R0095,4,8,Home,Yes,Pretty much perfect — more colour options on home items.
R0096,4,7,Clothing,Yes,"No major issues, still support could be more helpful and responsive."
R0097,4,8,Home,Yes,Great service overall.
R0098,4,8,Clothing,Yes,Really happy with the experience — more colour options on clothing items.
R0099,4,7,Home,Yes,N/A
R0100,4,7,Electronics,Yes,Nothing to add
R0101,5,10,Other,Yes,Great service overall.
R0102,5,9,Home,Yes,"Honestly, nothing major — faster checkout would be a small plus."
R0103,5,10,Clothing,Yes,-
R0104,4,10,Clothing,Yes,Very smooth from start to finish — faster checkout would be a small plus.
R0105,2,4,Electronics,Yes,"Good in general, however customer support was slow to respond."
R0106,5,8,Other,Yes,No real complaints — maybe a few more deals would be nice.
R0107,5,10,Electronics,Yes,
R0108,2,0,Electronics,No,"Frustrated, to be honest — my order showed up days after the delivery date, and support could be more helpful and responsive."
R0109,4,9,Home,No,"No major issues, still I'd love clearer, more accurate order tracking, and a clearer discount policy would be appreciated."
R0110,3,2,Clothing,Yes,Quite let down — the shipping fee felt steep.
R0111,4,8,Other,Yes,Pretty much perfect — perhaps a loyalty program for regulars.
R0112,5,10,Home,Yes,Really happy with the experience — more colour options on home items.
R0113,4,10,Clothing,Yes,Very smooth from start to finish.
R0114,5,10,Clothing,Yes,Very smooth from start to finish — faster checkout would be a small plus.
R0115,4,7,Electronics,Yes,Nothing to add
R0116,3,3,Electronics,Yes,"Decent experience overall, though shipping was right on time."
R0117,3,5,Home,Yes,"No major issues, still shipping was right on time."
R0118,4,9,Home,Yes,Very smooth from start to finish — more colour options on home items.
R0119,3,6,Home,No,
R0120,3,4,Electronics,Yes,"Good in general, however the electronics item felt lower quality than the photos suggested."
R0121,5,8,Home,Yes,Loved it — more colour options on home items.
R0122,5,10,Electronics,Yes,Loved it.
R0123,4,7,Clothing,No,
R0124,4,8,Electronics,Yes,No real complaints.
R0125,5,9,Home,Yes,N/A
R0126,4,10,Clothing,Yes,Loved it — perhaps a loyalty program for regulars.
R0127,2,2,Clothing,Yes,Pretty disappointed — the shipping fee felt steep.
R0128,4,8,Electronics,No,"It was okay, the parcel was delayed with no real updates."
R0129,4,10,Electronics,Yes,Nothing to add
R0130,2,0,Electronics,No,"Really not impressed — the delivery arrived later than promised, and the returns process was more painful than it should be."
R0131,3,8,Clothing,Yes,Very smooth from start to finish.
R0132,3,1,Electronics,Yes,"Decent experience overall, though support could be more helpful and responsive, and the packaging could be sturdier."
R0133,2,2,Clothing,Yes,"Really not impressed — make returns and refunds simpler and faster, and the clothing item didn't quite match the description."
R0134,5,10,Electronics,Yes,Loved it.
R0135,5,10,Other,Yes,Really happy with the experience.
R0136,5,10,Home,Yes,Really happy with the experience.
R0137,5,10,Home,Yes,Loved it — more colour options on home items.
R0138,5,10,Clothing,Yes,
R0139,4,10,Other,Yes,Great service overall — more colour options on other items.
R0140,1,0,Other,Yes,"Frustrated, to be honest — the website could be easier to navigate, and it was hard to reach a human when I had a question."
R0141,5,10,Home,Yes,Great service overall.
R0142,4,10,Clothing,Yes,Really happy with the experience.
R0143,3,8,Electronics,Yes,"Decent experience overall, though make returns and refunds simpler and faster."
R0144,1,0,Electronics,Yes,Pretty disappointed — prices feel a little high compared to competitors.
R0145,4,8,Clothing,Yes,Loved it — a wider clothing selection would be a bonus.
R0146,5,10,Other,Yes,Great service overall.
R0147,5,10,Home,Yes,-
R0148,5,10,Electronics,Yes,"Honestly, nothing major — keep doing what you're doing."
R0149,3,4,Clothing,Yes,"No major issues, still the sizing on clothing runs inconsistent."
R0150,5,9,Home,Yes,Very smooth from start to finish — perhaps a loyalty program for regulars.
R0151,5,10,Other,Yes,
R0152,3,9,Home,Yes,All good
R0153,4,9,Electronics,Yes,Loved it.
R0154,5,9,Clothing,Yes,"Honestly, nothing major — keep doing what you're doing."
R0155,5,9,Home,Yes,Really happy with the experience — a wider home selection would be a bonus.
R0156,3,4,Home,No,"Decent experience overall, though it was hard to reach a human when I had a question, and build quality on the home product could be better."
R0157,5,10,Clothing,Yes,Very smooth from start to finish.
R0158,5,10,Other,Yes,All good
R0159,4,7,Other,Yes,Loved it — keep doing what you're doing.
R0160,5,10,Electronics,Yes,Nothing
R0161,5,9,Electronics,Yes,Great service overall.
R0162,4,5,Electronics,Yes,"Decent experience overall, though the returns process was more painful than it should be, and it was hard to reach a human when I had a question."
R0163,2,0,Home,Yes,Pretty disappointed — build quality on the home product could be better.
R0164,4,9,Electronics,Yes,Pretty much perfect.
R0165,4,9,Electronics,Yes,
R0166,4,10,Clothing,Yes,Really happy with the experience.
R0167,1,0,Home,Yes,"Really not impressed — the home item felt lower quality than the photos suggested, and support could be more helpful and responsive."
R0168,5,10,Electronics,Yes,No real complaints — keep doing what you're doing.
R0169,2,1,Clothing,Yes,Really not impressed — make returns and refunds simpler and faster.
R0170,3,5,Clothing,Yes,"Decent experience overall, though prices feel a little high compared to competitors, and it was hard to reach a human when I had a question."
R0171,5,8,Electronics,Yes,Really happy with the experience.
R0172,1,0,Electronics,No,Not a great experience this time — shipping took far longer than the estimate.
R0173,4,8,Electronics,Yes,Nothing to add
R0174,2,6,Electronics,Yes,"Decent experience overall, though the parcel came earlier than expected, and the shipping fee felt steep."
R0175,1,0,Clothing,No,"Quite let down — the parcel was delayed with no real updates, and build quality on the clothing product could be better."
R0176,5,8,Clothing,Yes,Great service overall — faster checkout would be a small plus.
R0177,5,10,Clothing,Yes,Pretty much perfect.
R0178,4,7,Electronics,Yes,
R0179,2,0,Clothing,No,"Frustrated, to be honest — prices feel a little high compared to competitors, and shipping took far longer than the estimate."
R0180,3,8,Home,Yes,"Decent experience overall, though more competitive pricing would help, and my home item arrived in flimsy packaging."
R0181,5,9,Home,Yes,Great service overall — perhaps a loyalty program for regulars.
R0182,4,6,Electronics,Yes,No real complaints.
R0183,3,5,Home,No,"No major issues, still the shipping fee felt steep."
R0184,4,7,Clothing,Yes,Loved it — perhaps a loyalty program for regulars.
R0185,4,10,Electronics,Yes,
R0186,4,6,Clothing,Yes,
R0187,4,9,Electronics,Yes,Nothing to add
R0188,4,4,Electronics,Yes,"Mostly fine, but customer support was slow to respond, and prices feel a little high compared to competitors."
R0189,5,10,Clothing,Yes,Loved it.
R0190,2,2,Electronics,Yes,Quite let down — the electronics item didn't quite match the description.
R0191,5,9,Clothing,Yes,Really happy with the experience.
R0192,4,8,Electronics,No,"Mostly fine, but the electronics item felt lower quality than the photos suggested."
R0193,4,10,Other,Yes,Loved it — faster checkout would be a small plus.
R0194,5,9,Electronics,Yes,
R0195,5,10,Electronics,Yes,N/A
R0196,5,9,Home,Yes,Pretty much perfect — a wider home selection would be a bonus.
R0197,5,10,Electronics,Yes,N/A
R0198,3,4,Other,Yes,"Decent experience overall, though the other item didn't quite match the description, and the shipping fee felt steep."
R0199,4,10,Electronics,Yes,Loved it — faster checkout would be a small plus.
R0200,1,0,Home,No,"Frustrated, to be honest — the packaging could be sturdier."
